Target Table,Target Column,Target Data Type,Source Table,Source Column,Transformation / Business Rule,Surrogate Key Lookup,Notes
dim_date,date_key,INTEGER (PK),(generated),-,"YYYYMMDD smart key, generated by calendar build script",-,Not sourced from Silver
dim_date,date,DATE,(generated),-,Calendar date,-,
dim_date,day/week/month/quarter/year,SMALLINT,(generated),-,Standard calendar part extraction,-,
dim_date,fiscal_year,SMALLINT,(generated),-,Business rule: fiscal year = calendar year offset per finance calendar (e.g. FY starts April),-,Confirm fiscal calendar convention with Finance
dim_date,fiscal_quarter,SMALLINT,(generated),-,Derived from fiscal_year offset,-,
dim_date,is_weekend_flag,BOOLEAN,(generated),-,TRUE if Saturday/Sunday,-,
dim_date,business_day_flag,BOOLEAN,(generated),-,TRUE if NOT is_weekend_flag AND NOT holiday_flag,-,
dim_date,holiday_flag,BOOLEAN,(generated),-,Populated from a maintained public-holiday calendar reference,-,
dim_airline,airline_key,INTEGER IDENTITY (PK),slv_airline,-,Surrogate key auto-generated on insert,Generated,
dim_airline,airline_code,VARCHAR(20),slv_airline,airline_code,Direct copy (natural key for MERGE match),-,
dim_airline,airline_name,VARCHAR(200),slv_airline,airline_name,Direct copy,-,
dim_airline,country,VARCHAR(100),slv_airline,country,Direct copy,-,
dim_airline,alliance,VARCHAR(100),slv_airline,alliance,Direct copy,-,
dim_airline,carrier_type,VARCHAR(50),slv_airline,carrier_type,Direct copy,-,
dim_airline,active_flag,BOOLEAN,slv_airline,active_flag,Direct copy,-,
dim_airline,source_system,VARCHAR(100),slv_airline,source_system,Direct copy,-,
dim_airline,dw_created_ts,TIMESTAMP,slv_airline,created_ts,"Set once, on first Gold insert (GETDATE())",-,
dim_airline,dw_updated_ts,TIMESTAMP,slv_airline,updated_ts,Refreshed on every MERGE (GETDATE()),-,"SCD Type 1: MERGE on airline_code, update attributes in place"
dim_aircraft,aircraft_key,INTEGER IDENTITY (PK),slv_aircraft,-,Surrogate key auto-generated on insert of each version row,Generated,
dim_aircraft,tail_number,VARCHAR(20),slv_aircraft,tail_number,Direct copy (durable natural key across versions),-,
dim_aircraft,aircraft_type,VARCHAR(100),slv_aircraft,aircraft_type,Direct copy,-,
dim_aircraft,manufacturer,VARCHAR(100),slv_aircraft,manufacturer,Direct copy,-,
dim_aircraft,delivery_year,SMALLINT,slv_aircraft,delivery_date,YEAR(delivery_date),-,
dim_aircraft,retirement_year,SMALLINT,slv_aircraft,retirement_date,YEAR(retirement_date),-,
dim_aircraft,operator_airline_key,INTEGER,slv_aircraft,operator_airline_code,Resolve to airline_key,Lookup dim_airline WHERE airline_code = slv.operator_airline_code,Tracked attribute for SCD2 change detection
dim_aircraft,effective_start_date,DATE,slv_aircraft,updated_ts (date portion),Business rule: date this version became current -- load date for the batch that introduced the change,-,SCD Type 2 versioning column
dim_aircraft,effective_end_date,DATE,slv_aircraft,-,Business rule: set to (next version's effective_start_date - 1) when a new version is inserted; NULL while current,-,SCD Type 2 versioning column
dim_aircraft,is_current_flag,BOOLEAN,slv_aircraft,-,"Business rule: TRUE for the latest version per tail_number, FALSE for all prior versions",-,SCD Type 2 versioning column
dim_aircraft,source_system,VARCHAR(100),slv_aircraft,source_system,Direct copy,-,
dim_aircraft,dw_created_ts,TIMESTAMP,slv_aircraft,created_ts,Set on insert of this version row (GETDATE()),-,
dim_aircraft,dw_updated_ts,TIMESTAMP,slv_aircraft,updated_ts,Refreshed on every MERGE evaluation (GETDATE()),-,"SCD Type 2: compare operator_airline_code (+ other tracked attrs) vs current row; if changed, expire old row and insert new version"
dim_event_type,event_type_key,INTEGER IDENTITY (PK),slv_event_type,-,Surrogate key auto-generated on insert,Generated,
dim_event_type,event_type_name,VARCHAR(200),slv_event_type,event_type_name,Direct copy,-,
dim_event_type,event_category,VARCHAR(100),slv_event_type,event_category,Direct copy,-,
dim_event_type,description,VARCHAR(1000),slv_event_type,description,Direct copy,-,
dim_event_type,source_system,VARCHAR(100),slv_event_type,source_system,Direct copy,-,
dim_event_type,dw_created_ts,TIMESTAMP,slv_event_type,created_ts,Set once on first Gold insert,-,
dim_event_type,dw_updated_ts,TIMESTAMP,slv_event_type,updated_ts,Refreshed on every MERGE,-,"SCD Type 1: MERGE on event_type_code (not carried to Gold, code lives only in Silver/lookups)"
dim_airport,airport_key,INTEGER IDENTITY (PK),slv_airport,-,Surrogate key auto-generated on insert,Generated,
dim_airport,airport_code,VARCHAR(20),slv_airport,airport_code,Direct copy (natural key for MERGE match),-,
dim_airport,airport_name,VARCHAR(200),slv_airport,airport_name,Direct copy,-,
dim_airport,city,VARCHAR(100),slv_airport,city,Direct copy,-,
dim_airport,country,VARCHAR(100),slv_airport,country,Direct copy,-,
dim_airport,region,VARCHAR(100),slv_airport,region,Direct copy,-,
dim_airport,iata_code,VARCHAR(10),slv_airport,iata_code,Direct copy,-,
dim_airport,icao_code,VARCHAR(10),slv_airport,icao_code,Direct copy,-,
dim_airport,latitude,"DECIMAL(9,6)",slv_airport,latitude,Direct copy,-,
dim_airport,longitude,"DECIMAL(9,6)",slv_airport,longitude,Direct copy,-,
dim_airport,timezone,VARCHAR(50),slv_airport,timezone,Direct copy,-,
dim_airport,source_system,VARCHAR(100),slv_airport,source_system,Direct copy,-,
dim_airport,dw_created_ts,TIMESTAMP,slv_airport,created_ts,Set once on first Gold insert,-,
dim_airport,dw_updated_ts,TIMESTAMP,slv_airport,updated_ts,Refreshed on every MERGE,-,SCD Type 1: MERGE on airport_code
dim_route,route_key,INTEGER IDENTITY (PK),slv_route,-,Surrogate key auto-generated on insert,Generated,
dim_route,origin_airport_key,INTEGER,slv_route,origin_airport_code,Resolve to airport_key,Lookup dim_airport WHERE airport_code = slv.origin_airport_code,
dim_route,destination_airport_key,INTEGER,slv_route,destination_airport_code,Resolve to airport_key,Lookup dim_airport WHERE airport_code = slv.destination_airport_code,
dim_route,route_distance_miles,"DECIMAL(10,2)",slv_route,route_distance_miles,Direct copy,-,
dim_route,region,VARCHAR(100),slv_route,region,Direct copy,-,
dim_route,route_type,VARCHAR(50),slv_route,route_type,Direct copy,-,
dim_route,domestic_international,VARCHAR(20),slv_route,domestic_international,Direct copy,-,
dim_route,source_system,VARCHAR(100),slv_route,source_system,Direct copy,-,
dim_route,dw_created_ts,TIMESTAMP,slv_route,created_ts,Set once on first Gold insert,-,
dim_route,dw_updated_ts,TIMESTAMP,slv_route,updated_ts,Refreshed on every MERGE,-,SCD Type 1: MERGE on route_id (Silver natural key)
dim_customer,customer_key,INTEGER IDENTITY (PK),slv_customer,-,Surrogate key auto-generated on insert,Generated,
dim_customer,customer_name,VARCHAR(200),slv_customer,customer_name,Direct copy,-,
dim_customer,customer_type,VARCHAR(50),slv_customer,customer_type,Direct copy,-,
dim_customer,country,VARCHAR(100),slv_customer,country,Direct copy,-,
dim_customer,segment,VARCHAR(100),slv_customer,segment,Direct copy,-,
dim_customer,active_flag,BOOLEAN,slv_customer,active_flag,Direct copy,-,
dim_customer,source_system,VARCHAR(100),slv_customer,source_system,Direct copy,-,
dim_customer,dw_created_ts,TIMESTAMP,slv_customer,created_ts,Set once on first Gold insert,-,
dim_customer,dw_updated_ts,TIMESTAMP,slv_customer,updated_ts,Refreshed on every MERGE,-,SCD Type 1: MERGE on customer_id (Silver natural key)
dim_data_product,product_key,INTEGER IDENTITY (PK),slv_data_product,-,Surrogate key auto-generated on insert,Generated,
dim_data_product,product_name,VARCHAR(200),slv_data_product,product_name,Direct copy,-,
dim_data_product,domain,VARCHAR(100),slv_data_product,domain,Direct copy,-,
dim_data_product,delivery_type,VARCHAR(50),slv_data_product,delivery_type,Direct copy,-,
dim_data_product,description,VARCHAR(1000),slv_data_product,description,Direct copy,-,
dim_data_product,active_flag,BOOLEAN,slv_data_product,active_flag,Direct copy,-,
dim_data_product,source_system,VARCHAR(100),slv_data_product,source_system,Direct copy,-,
dim_data_product,dw_created_ts,TIMESTAMP,slv_data_product,created_ts,Set once on first Gold insert,-,
dim_data_product,dw_updated_ts,TIMESTAMP,slv_data_product,updated_ts,Refreshed on every MERGE,-,SCD Type 1: MERGE on product_code (Silver natural key)
fact_flight_operations,flight_key,BIGINT IDENTITY (PK),slv_flight_operations,-,Surrogate key auto-generated on insert,Generated,
fact_flight_operations,date_key,INTEGER,slv_flight_operations,flight_date,Format flight_date as YYYYMMDD,Lookup dim_date WHERE date = slv.flight_date,
fact_flight_operations,airline_key,INTEGER,slv_flight_operations,carrier_code,Resolve to airline_key,Lookup dim_airline WHERE airline_code = slv.carrier_code,
fact_flight_operations,aircraft_key,INTEGER,slv_flight_operations,"tail_number, flight_date",Resolve to the aircraft version current on flight_date,"Lookup dim_aircraft WHERE tail_number = slv.tail_number AND flight_date BETWEEN effective_start_date AND COALESCE(effective_end_date,'9999-12-31')",SCD2 point-in-time lookup
fact_flight_operations,route_key,INTEGER,slv_flight_operations,route_id,Resolve to route_key,Lookup dim_route WHERE route_id = slv.route_id,
fact_flight_operations,origin_airport_key,INTEGER,slv_flight_operations,origin_airport_code,Resolve to airport_key,Lookup dim_airport WHERE airport_code = slv.origin_airport_code,
fact_flight_operations,destination_airport_key,INTEGER,slv_flight_operations,destination_airport_code,Resolve to airport_key,Lookup dim_airport WHERE airport_code = slv.destination_airport_code,
fact_flight_operations,schedule_id,VARCHAR(50),slv_flight_operations,schedule_id,Direct copy,-,
fact_flight_operations,scheduled_departure_ts,TIMESTAMP,slv_flight_operations,scheduled_departure_ts,Direct copy,-,
fact_flight_operations,actual_departure_ts,TIMESTAMP,slv_flight_operations,actual_departure_ts,Direct copy,-,
fact_flight_operations,scheduled_arrival_ts,TIMESTAMP,slv_flight_operations,scheduled_arrival_ts,Direct copy,-,
fact_flight_operations,actual_arrival_ts,TIMESTAMP,slv_flight_operations,actual_arrival_ts,Direct copy,-,
fact_flight_operations,delay_minutes,INTEGER,slv_flight_operations,delay_minutes,Direct copy,-,
fact_flight_operations,taxi_out_minutes,INTEGER,slv_flight_operations,taxi_out_minutes,Direct copy,-,
fact_flight_operations,taxi_in_minutes,INTEGER,slv_flight_operations,taxi_in_minutes,Direct copy,-,
